node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
1309,46,6.49,49.77,59.54,33.83,2,0.2,ROUNDING_DOWN
1117,43,1.61,9.05,47.09,10.17,1,0.05,ROUNDING_DOWN
1240,44,7.98,37.29,43.07,49.29,2,0.2,ROUNDING_DOWN
188,20,99.47,9.19,9.19,90.81,1,0.0,ROUNDING_DOWN
5331,88,99.98,4.74,4.74,95.26,2,0.04,ROUNDING_DOWN
1026,41,17.54,66.64,67.81,31.63,3,0.28,ROUNDING_DOWN
2432,60,99.96,35.29,35.29,64.71,2,0.02,ROUNDING_DOWN
7078,100,7.67,58.07,58.61,41.0,3,5.5,ROUNDING_DOWN
3758,74,99.97,34.94,34.94,65.06,3,0.03,ROUNDING_DOWN
2756,64,8.09,25.21,25.51,73.63,1,0.92,ROUNDING_DOWN
622,33,7.72,35.95,54.86,29.58,2,0.06,ROUNDING_DOWN
2061,57,0.24,9.33,75.0,3.11,2,0.06,ROUNDING_DOWN
911,38,6.92,40.41,54.93,33.15,2,0.1,ROUNDING_DOWN
833,38,99.88,8.75,8.75,91.25,1,0.01,ROUNDING_DOWN
2024,55,3.85,30.29,34.29,58.04,1,0.26,ROUNDING_DOWN
4768,82,2.54,40.68,59.68,27.48,2,0.93,ROUNDING_DOWN
89,14,14.61,24.86,32.7,51.15,1,0.0,ROUNDING_DOWN
1540,49,2.47,29.99,72.27,11.51,2,0.12,ROUNDING_DOWN
26,11,96.15,1.42,1.42,98.58,3,0.0,ROUNDING_DOWN
3101,67,6.13,67.95,76.45,20.94,3,0.91,ROUNDING_DOWN
511,30,99.8,50.36,50.36,49.64,3,0.0,ROUNDING_DOWN
402,27,7.71,46.82,67.57,22.47,2,0.03,ROUNDING_DOWN
966,40,1.55,17.78,50.0,17.78,1,0.04,ROUNDING_DOWN
3006,66,4.76,37.65,42.91,50.1,2,0.69,ROUNDING_DOWN
3300,71,99.97,5.82,5.82,94.18,1,0.02,ROUNDING_DOWN
2060,56,99.95,13.57,13.57,86.43,3,0.01,ROUNDING_DOWN
3434,71,1.28,20.48,73.43,7.41,2,0.32,ROUNDING_DOWN
6018,93,99.98,5.13,5.13,94.87,2,0.04,ROUNDING_DOWN
3012,67,99.97,13.72,13.72,86.28,3,0.02,ROUNDING_DOWN
2283,59,6.75,66.02,73.71,23.54,3,0.58,ROUNDING_DOWN
6921,99,5.43,63.36,67.03,31.17,3,3.83,ROUNDING_DOWN
1133,42,99.91,51.36,51.36,48.64,3,0.01,ROUNDING_DOWN
4637,81,1.88,28.2,35.75,50.68,1,0.68,ROUNDING_DOWN
4637,82,99.98,55.55,55.55,44.45,3,0.03,ROUNDING_DOWN
