node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,approx_method
2541,62,97.05,17.0,1,83.0,61,5.77,ROUNDING_UP
110,15,86.36,41.5,1,58.46,14,0.01,ROUNDING_UP
191,20,92.15,91.71,1,8.28,19,0.05,ROUNDING_UP
2777,64,44.94,89.57,1,10.43,27,5.45,ROUNDING_UP
134,18,86.57,38.01,1,61.97,17,0.02,ROUNDING_UP
299,25,91.3,3.55,1,96.45,24,0.12,ROUNDING_UP
4917,84,64.1,41.88,1,58.12,50,22.31,ROUNDING_UP
216,21,91.67,87.93,1,12.05,20,0.05,ROUNDING_UP
442,29,94.12,6.27,1,93.73,28,0.2,ROUNDING_UP
268,23,91.42,91.78,1,8.22,22,0.07,ROUNDING_UP
659,34,44.01,78.6,1,21.37,14,0.38,ROUNDING_UP
2024,56,97.18,84.77,1,15.23,55,5.02,ROUNDING_UP
2685,63,97.8,27.02,1,72.98,62,7.4,ROUNDING_UP
538,30,93.68,78.46,1,21.54,29,0.33,ROUNDING_UP
3013,67,63.49,26.2,1,73.8,39,7.8,ROUNDING_UP
6253,94,57.27,73.47,1,26.53,52,35.22,ROUNDING_UP
6922,99,14.59,27.71,1,72.28,15,14.92,ROUNDING_UP
466,29,94.85,28.06,1,71.94,28,0.22,ROUNDING_UP
100,15,90.0,65.44,1,34.47,14,0.01,ROUNDING_UP
65,12,75.38,32.67,1,67.09,11,0.01,ROUNDING_UP
121,16,91.74,71.82,1,28.09,15,0.02,ROUNDING_UP
226,21,90.71,64.1,1,35.9,20,0.05,ROUNDING_UP
3333,70,98.11,23.78,1,76.22,69,11.84,ROUNDING_UP
227,21,92.07,29.53,1,70.47,20,0.06,ROUNDING_UP
1637,53,33.41,98.77,1,1.21,19,1.58,ROUNDING_UP
4460,80,15.36,48.53,1,51.45,13,5.95,ROUNDING_UP
3362,71,98.13,96.52,1,3.48,70,11.04,ROUNDING_UP
58,13,84.48,64.94,1,34.86,12,0.01,ROUNDING_UP
5400,88,37.57,13.21,1,86.79,32,17.06,ROUNDING_UP
860,37,95.93,25.9,1,74.1,36,0.73,ROUNDING_UP
3458,71,100.0,16.62,1,83.38,70,10.41,ROUNDING_UP
1069,41,95.98,46.26,1,53.74,40,1.12,ROUNDING_UP
1062,42,95.57,88.58,1,11.42,41,1.09,ROUNDING_UP
294,23,93.2,54.59,1,45.41,22,0.09,ROUNDING_UP
6694,97,47.0,62.0,1,38.0,44,31.46,ROUNDING_UP
1969,55,66.84,8.76,1,91.24,34,3.09,ROUNDING_UP
31,11,80.65,73.54,1,24.9,10,0.0,ROUNDING_UP
2176,57,46.51,40.87,1,59.13,25,3.32,ROUNDING_UP
273,24,90.84,4.18,1,95.82,23,0.06,ROUNDING_UP
210,21,91.9,82.57,1,17.42,20,0.05,ROUNDING_UP
3462,71,51.21,40.98,1,59.02,35,8.53,ROUNDING_UP
3245,69,18.12,38.91,1,61.07,13,3.72,ROUNDING_UP
57,12,85.96,72.73,1,26.1,11,0.01,ROUNDING_UP
2103,58,96.34,94.02,1,5.98,54,4.25,ROUNDING_UP
476,29,85.5,38.21,1,61.79,23,0.21,ROUNDING_UP
5295,87,85.5,39.14,1,60.86,69,27.67,ROUNDING_UP
252,22,67.46,14.02,1,85.95,14,0.05,ROUNDING_UP
97,16,85.57,5.94,1,93.99,15,0.01,ROUNDING_UP
454,29,94.71,96.81,1,3.19,28,0.24,ROUNDING_UP
6667,97,82.2,29.22,1,70.78,75,42.02,ROUNDING_UP
2251,59,97.69,95.49,1,4.51,58,4.58,ROUNDING_UP
307,24,92.83,23.09,1,76.91,23,0.09,ROUNDING_UP
5269,87,98.31,14.09,1,85.91,86,25.93,ROUNDING_UP
2545,62,97.17,79.12,1,20.88,61,6.14,ROUNDING_UP
123,17,52.03,86.81,1,6.13,9,0.02,ROUNDING_UP
6888,98,14.21,55.0,1,44.95,14,13.07,ROUNDING_UP
